M	A	Rank	Composite
C1orf167	6.77308353020073e-05	0.00399941652746624	22514.8679245283	C1orf167: 22514.8679245283
AL953897.1	0	6.76589006664199e-05	27241.6698113208	AL953897.1: 27241.6698113208
MTHFR	0.00262998060300686	0.234854052888136	7807.83018867925	MTHFR: 7807.83018867925
CLCN6	0.00232414907084481	0.175157836434763	8627.66037735849	CLCN6: 8627.66037735849
NPPA	1.6755531203907e-06	0.000485523387043907	26371.8396226415	NPPA: 26371.8396226415
NPPB	0.000955671952018305	0.0239093027256241	12671.2169811321	NPPB: 12671.2169811321
AL021155.5	0.000319075739306863	0.0248082606162536	15465.8301886792	AL021155.5: 15465.8301886792
KIAA2013	0.0058833090278953	0.558649321028884	4393.67924528302	KIAA2013: 4393.67924528302
PLOD1	0.0030437561934168	0.224970491101752	7510.94339622641	PLOD1: 7510.94339622641
AL096840.2	8.40680727842562e-06	0.00257621810752835	25838.4905660377	AL096840.2: 25838.4905660377
MFN2	0.00303837296960102	0.218567426647798	7213.98113207547	MFN2: 7213.98113207547
MIIP	0.00353824904166946	0.216689988360464	7118.33962264151	MIIP: 7118.33962264151
TNFRSF8	7.27239058327985e-07	0.00022071761228061	26237.9056603774	TNFRSF8: 26237.9056603774
AL357835.1	0	0	27241.6698113208	AL357835.1: 27241.6698113208
TNFRSF1B	0.000306036635466834	0.0221487540519734	15650.9339622642	TNFRSF1B: 15650.9339622642
